In,Out,SN,Time,TimeZone,_RoomId,__v,_id
1,0,FB8A8E16,2018-04-09T01:59:51.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acb399c5ddf69000ed1b3bf
0,0,FB8A8E16,2018-04-09T07:00:00.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acb81595ddf69000ed1b3c0
0,1,FB8A8E16,2018-04-09T16:59:43.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc0c7f5ddf69000ed1b3c1
1,0,FB8A8E16,2018-04-09T17:18:23.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc10e45ddf69000ed1b3c2
1,0,FB8A8E16,2018-04-09T17:25:40.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc12985ddf69000ed1b3c3
0,1,FB8A8E16,2018-04-09T17:25:43.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc129c5ddf69000ed1b3c4
1,0,FB8A8E16,2018-04-09T17:27:51.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc131b5ddf69000ed1b3c5
0,1,FB8A8E16,2018-04-09T17:28:10.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc132e5ddf69000ed1b3c6
0,1,FB8A8E16,2018-04-09T17:31:13.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc13e65ddf69000ed1b3c7
1,0,FB8A8E16,2018-04-09T17:31:22.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc13ee5ddf69000ed1b3c9
0,1,FB8A8E16,2018-04-09T17:32:26.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc142d5ddf69000ed1b3ca
1,0,FB8A8E16,2018-04-09T17:36:41.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc15435ddf69000ed1b3cb
1,0,FB8A8E16,2018-04-09T17:37:37.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc15655ddf69000ed1b3cd
1,0,FB8A8E16,2018-04-09T17:37:56.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc157b5ddf69000ed1b3ce
