SN,Time,TimeZone,In,Out
FB8A8E16,2018-03-15T13:49:36.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:49:36.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:52:29.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:52:55.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:52:55.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:53:06.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:55:40.000Z,+0800,1,0
FB8A8E16,2018-03-15T14:04:52.000Z,+0800,1,0
FB8A8E16,2018-03-15T14:04:52.000Z,+0800,1,0
FB8A8E16,2018-03-15T14:05:10.000Z,+0800,0,1
FB8A8E16,2018-03-15T14:05:40.000Z,+0800,0,1
FB8A8E16,2018-03-15T14:05:57.000Z,+0800,0,1
FB8A8E16,2018-03-15T14:09:13.000Z,+0800,1,0
FB8A8E16,2018-03-15T14:14:04.000Z,+0800,0,1
FB8A8E16,2018-03-15T14:19:03.000Z,+0800,1,0
FB8A8E16,2018-03-15T14:22:12.000Z,+0800,0,1
FB8A8E16,2018-03-15T14:28:32.000Z,+0800,1,0
FB8A8E16,2018-03-15T14:33:06.000Z,+0800,1,0
FB8A8E16,2018-03-15T14:33:56.000Z,+0800,0,1
FB8A8E16,2018-03-15T14:34:06.000Z,+0800,1,0
FB8A8E16,2018-03-15T14:34:06.000Z,+0800,1,0
FB8A8E16,2018-03-15T14:35:36.000Z,+0800,1,0
FB8A8E16,2018-03-15T14:37:32.000Z,+0800,1,0
FB8A8E16,2018-03-15T14:38:35.000Z,+0800,0,1
FB8A8E16,2018-03-15T14:38:57.000Z,+0800,0,1
FB8A8E16,2018-03-15T14:45:52.000Z,+0800,0,1
FB8A8E16,2018-03-15T14:49:33.000Z,+0800,0,1
FB8A8E16,2018-03-15T14:50:25.000Z,+0800,1,0
FB8A8E16,2018-03-15T14:50:25.000Z,+0800,1,0
FB8A8E16,2018-03-15T14:51:30.000Z,+0800,0,1
FB8A8E16,2018-03-15T14:52:24.000Z,+0800,1,0
FB8A8E16,2018-03-15T14:53:59.000Z,+0800,0,1
FB8A8E16,2018-03-15T14:53:59.000Z,+0800,0,1
FB8A8E16,2018-03-15T14:55:25.000Z,+0800,1,0
FB8A8E16,2018-03-15T14:58:40.000Z,+0800,1,0
FB8A8E16,2018-03-15T14:59:13.000Z,+0800,0,1
FB8A8E16,2018-03-15T14:59:31.000Z,+0800,0,1
FB8A8E16,2018-03-15T15:03:21.000Z,+0800,1,0
FB8A8E16,2018-03-15T15:08:18.000Z,+0800,1,0
FB8A8E16,2018-03-15T15:12:37.000Z,+0800,1,0
FB8A8E16,2018-03-15T15:13:52.000Z,+0800,0,1
FB8A8E16,2018-03-15T15:14:57.000Z,+0800,1,0
FB8A8E16,2018-03-15T15:15:07.000Z,+0800,1,0
FB8A8E16,2018-03-15T15:15:51.000Z,+0800,0,1
FB8A8E16,2018-03-15T15:15:51.000Z,+0800,0,1
FB8A8E16,2018-03-15T15:17:18.000Z,+0800,1,0
FB8A8E16,2018-03-15T15:17:18.000Z,+0800,1,0
FB8A8E16,2018-03-15T15:18:32.000Z,+0800,0,1
FB8A8E16,2018-03-15T15:23:45.000Z,+0800,1,0
FB8A8E16,2018-03-15T15:23:45.000Z,+0800,1,0
FB8A8E16,2018-03-15T15:28:22.000Z,+0800,0,1
FB8A8E16,2018-03-15T15:29:20.000Z,+0800,0,1
FB8A8E16,2018-03-15T15:30:18.000Z,+0800,1,0
FB8A8E16,2018-03-15T15:35:43.000Z,+0800,1,0
FB8A8E16,2018-03-15T15:35:49.000Z,+0800,1,0
FB8A8E16,2018-03-15T15:35:49.000Z,+0800,1,0
FB8A8E16,2018-03-15T15:38:47.000Z,+0800,0,1
FB8A8E16,2018-03-15T15:39:20.000Z,+0800,1,0
FB8A8E16,2018-03-15T15:39:55.000Z,+0800,0,1
FB8A8E16,2018-03-15T15:40:39.000Z,+0800,0,1
FB8A8E16,2018-03-15T15:46:21.000Z,+0800,1,0
FB8A8E16,2018-03-15T15:47:03.000Z,+0800,0,1
FB8A8E16,2018-03-15T15:47:04.000Z,+0800,1,0
FB8A8E16,2018-03-15T15:47:05.000Z,+0800,1,0
FB8A8E16,2018-03-15T15:51:18.000Z,+0800,1,0
FB8A8E16,2018-03-15T15:52:23.000Z,+0800,0,1
FB8A8E16,2018-03-15T15:54:17.000Z,+0800,0,1
FB8A8E16,2018-03-15T15:56:59.000Z,+0800,0,1
FB8A8E16,2018-03-15T15:59:25.000Z,+0800,0,1
FB8A8E16,2018-03-15T15:59:58.000Z,+0800,1,0
FB8A8E16,2018-03-15T16:03:57.000Z,+0800,1,0
FB8A8E16,2018-03-15T16:05:15.000Z,+0800,0,1
FB8A8E16,2018-03-15T16:07:08.000Z,+0800,0,1
FB8A8E16,2018-03-15T16:08:11.000Z,+0800,0,1
FB8A8E16,2018-03-15T16:08:46.000Z,+0800,1,0
FB8A8E16,2018-03-15T16:08:46.000Z,+0800,1,0
FB8A8E16,2018-03-15T16:11:34.000Z,+0800,1,0
FB8A8E16,2018-03-15T16:14:58.000Z,+0800,0,1
FB8A8E16,2018-03-15T16:17:56.000Z,+0800,1,0
FB8A8E16,2018-03-15T16:20:41.000Z,+0800,1,0
FB8A8E16,2018-03-15T16:25:12.000Z,+0800,0,1
FB8A8E16,2018-03-15T16:25:21.000Z,+0800,0,1
